    1.95301e+01     6.14213e+01     9.00000e-01     2.20796e+01   |   -6.27754e+01     3.74805e+00     2.66822e+03     6.09326e+01     9.80559e+01     7.30501e+00
    2.04271e+01     5.79033e+01     9.00000e-01     6.06785e+00   |   -5.40140e+01     6.51723e+00     2.66822e+03     6.47158e+01     6.26759e+01     8.64944e-01
    2.01161e+01     6.05085e+01     9.00000e-01     9.30088e+00   |   -2.95810e+01    -2.60816e+01     2.66822e+03     5.97072e+01     8.55354e+01     1.45591e+01
    1.98795e+01     5.99353e+01     9.00000e-01     4.35163e+00   |   -2.81356e+01     1.55349e+01     2.66822e+03     5.87020e+01     1.12903e+02     3.54481e+00
    1.92396e+01     6.14092e+01     9.00000e-01     2.07702e+01   |   -4.09384e+01    -1.35442e+01     2.66822e+03     6.11647e+01     8.39252e+01     2.71867e+01
    2.02548e+01     5.70141e+01     9.00000e-01     1.41228e+00   |   -4.71027e+01     3.19845e+00     2.66822e+03     6.28143e+01     7.59265e+01     1.91907e+01
    2.05464e+01     5.83792e+01     9.00000e-01     1.82795e+01   |    9.04107e+01     2.99305e+01     2.66822e+03     6.87583e+01     9.39715e+01     1.22087e+01
    2.02744e+01     5.76351e+01     9.00000e-01     5.43430e+00   |   -4.71942e+01     1.36729e+01     2.66822e+03     6.46697e+01     6.78706e+01     1.64762e+01
    1.94088e+01     6.22299e+01     9.00000e-01     2.26760e+01   |   -8.06240e+01     4.23517e+01     2.66822e+03     5.64145e+01     1.65142e+02     6.11323e+00
    2.01973e+01     5.95319e+01     9.00000e-01     3.02893e+00   |   -4.04946e+01     4.18596e+00     2.66822e+03     6.23146e+01     7.89179e+01     2.10190e+00
    2.00569e+01     5.97924e+01     9.00000e-01     1.18454e+01   |    4.69455e+01    -2.53973e+01     2.66822e+03     6.48519e+01     9.75576e+01     1.44402e+01
    1.98774e+01     6.18868e+01     9.00000e-01     2.75721e+00   |   -2.79194e+01     5.17459e+00     2.66822e+03     6.34854e+01     6.98948e+01     3.41867e+01
    1.97468e+01     6.22436e+01     9.00000e-01     5.31315e+00   |   -8.44129e+01    -5.72461e+00     2.66822e+03     6.17654e+01     9.42978e+01     1.95316e+01
    2.01265e+01     5.94193e+01     9.00000e-01     7.24649e+00   |   -3.22890e+01     1.60759e+01     2.66822e+03     6.12130e+01     9.97960e+01     2.84865e+01
    1.96440e+01     6.13191e+01     9.00000e-01     8.44855e+00   |   -2.68701e+01    -3.56416e+01     2.66822e+03     5.37610e+01     4.52577e+02     8.23375e+00
    2.02127e+01     6.00581e+01     9.00000e-01     4.51412e+00   |   -2.50140e+01     3.22651e+01     2.66822e+03     6.61144e+01     6.50781e+01     2.30473e+01
    2.02214e+01     5.97938e+01     9.00000e-01     5.81399e-01   |   -6.12014e+01     1.47769e+01     2.66822e+03     6.23986e+01     7.34098e+01     1.58438e+00
    1.98416e+01     6.01609e+01     9.00000e-01     2.96955e+00   |   -5.43025e+01    -2.38621e+01     2.66822e+03     6.21184e+01     7.54139e+01     3.84221e+00
    2.05771e+01     5.92956e+01     9.00000e-01     2.11774e+01   |   -4.38199e+01     4.29635e+00     2.66822e+03     6.20612e+01     7.40115e+01     3.19197e+01
    2.01481e+01     6.05476e+01     9.00000e-01     2.40307e+00   |    2.46308e+00     1.22746e+01     2.66822e+03     6.41769e+01     8.02457e+01     2.42955e+01
    2.00910e+01     5.97302e+01     9.00000e-01     3.29473e+00   |   -1.11235e+02     3.90266e+01     2.66822e+03     5.74039e+01     1.41631e+02     5.72354e+01
    1.97207e+01     6.09665e+01     9.00000e-01     6.10624e+00   |    8.57421e+00    -6.93322e+00     2.66822e+03     6.19188e+01     8.35562e+01     1.35170e+01
    2.02988e+01     6.24385e+01     9.00000e-01     5.88793e+00   |    5.03077e+00     3.01603e+01     2.66822e+03     6.03976e+01     1.05717e+02     1.75312e+00
    2.00752e+01     5.91299e+01     9.00000e-01     5.47513e-01   |   -2.57553e+01    -1.60877e+01     2.66822e+03     5.67397e+01     1.80236e+02     4.75256e+00
    1.98924e+01     6.16172e+01     9.00000e-01     7.73329e+00   |   -4.82853e+01    -1.39295e+00     2.66822e+03     6.30390e+01     6.63353e+01     8.00490e+00
    1.96354e+01     6.18202e+01     9.00000e-01     1.04988e+00   |   -5.02453e+01     1.15008e+01     2.66822e+03     6.12624e+01     1.04051e+02     1.63317e+00
    1.98001e+01     5.97671e+01     9.00000e-01     2.91335e+00   |    3.00438e+01    -8.85627e+00     2.66822e+03     6.18677e+01     1.18608e+02     6.29007e+00
    1.97309e+01     6.14402e+01     9.00000e-01     3.50803e+00   |   -5.81158e+01     1.07957e-01     2.66822e+03     5.73661e+01     1.46261e+02     1.61596e+00
    2.02643e+01     5.93479e+01     9.00000e-01     2.19172e+00   |   -5.16342e+01    -1.81619e+00     2.66822e+03     6.14307e+01     8.47172e+01     7.52182e+00
